tag	y	y_hat	posteriors	attentions
01-01-05-02-01-02-22.csv	angry	angry	[5.881800174713135, -3.1738905906677246, 1.261338710784912, 1.5047283172607422, -5.318022727966309, -1.455896258354187, 0.5743941068649292, 0.5850965976715088]	[0.0016919412882998586, 0.0016970072174444795, 0.0017677836585789919, 0.0020907153375446796, 0.0035400595515966415, 0.006869686767458916, 0.009466362185776234, 0.010659269988536835, 0.011208673939108849, 0.011477362364530563, 0.01160595752298832, 0.011669550091028214, 0.011709691025316715, 0.011732541024684906, 0.011747258715331554, 0.0117618003860116, 0.01176783163100481, 0.011786399409174919, 0.011804220266640186, 0.011831472627818584, 0.011860145255923271, 0.011881832033395767, 0.011890791356563568, 0.011889589950442314, 0.011880992911756039, 0.011870753951370716, 0.011860703118145466, 0.01185596827417612, 0.011859942227602005, 0.011870428919792175, 0.011884944513440132, 0.011896535754203796, 0.011905351653695107, 0.011911687441170216, 0.011916305869817734, 0.011919321492314339, 0.011922027915716171, 0.011924143880605698, 0.011926048435270786, 0.011927508749067783, 0.011928627267479897, 0.011929170228540897, 0.011929521337151527, 0.011929584667086601, 0.011929244734346867, 0.011928361840546131, 0.011926043778657913, 0.011920373886823654, 0.01190822385251522, 0.011890273541212082, 0.011870705522596836, 0.011854855343699455, 0.011848490685224533, 0.01185555849224329, 0.011856527999043465, 0.011837633326649666, 0.01181261707097292, 0.01178818941116333, 0.011751942336559296, 0.011685160920023918, 0.01158974226564169, 0.011449066922068596, 0.011239878833293915, 0.011143055744469166, 0.011293670162558556, 0.011409802362322807, 0.011295449919998646, 0.010773510672152042, 0.009907876141369343, 0.008849567733705044, 0.007727092131972313, 0.006552917417138815, 0.005342505872249603, 0.003985579125583172, 0.002827793825417757, 0.0020829809363931417, 0.0018159756436944008, 0.0017483001574873924, 0.0017549418844282627, 0.0018042002338916063, 0.0018186421366408467, 0.001790469279512763, 0.001750650117173791, 0.0017120405100286007, 0.0016820651944726706, 0.0016630529426038265, 0.0016577823553234339, 0.0016601548995822668, 0.0016721357824280858, 0.001695291604846716, 0.0017313166754320264, 0.0017820704961195588, 0.0018569835228845477, 0.0019754429813474417, 0.0021723120007663965, 0.002508115256205201, 0.003067749086767435, 0.003959510009735823, 0.00522784935310483, 0.006738149560987949, 0.008291562087833881, 0.009172559715807438, 0.009787551127374172, 0.010294760577380657, 0.010663478635251522, 0.010871121659874916, 0.010990611277520657, 0.011007852852344513, 0.010925223119556904, 0.010642306879162788, 0.010113053023815155, 0.00912390649318695, 0.007583226077258587, 0.005960624199360609, 0.005235326010733843, 0.005774065852165222, 0.00772536126896739, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
01-01-07-02-02-01-21.csv	disgust	disgust	[1.9434303045272827, -3.092965602874756, 5.6543354988098145, 0.6393875479698181, -2.3541550636291504, -3.5991737842559814, 0.42767533659935, 0.42668449878692627]	[0.0014395634643733501, 0.001478223130106926, 0.001533255446702242, 0.0015977489529177547, 0.0016674479702487588, 0.0017415422480553389, 0.0018294923938810825, 0.0019334852695465088, 0.002021303866058588, 0.0020543786231428385, 0.0020201602019369602, 0.0019399048760533333, 0.001847569365054369, 0.0017757725436240435, 0.001746342284604907, 0.0017751780105754733, 0.001893240143544972, 0.0021292867604643106, 0.0025084493681788445, 0.00304954731836915, 0.0038385007064789534, 0.004982881713658571, 0.006454952526837587, 0.00788944773375988, 0.008781863376498222, 0.009252822026610374, 0.009509962983429432, 0.009704825468361378, 0.009860865771770477, 0.009975547902286053, 0.010050754062831402, 0.010096662677824497, 0.010117419995367527, 0.010125508531928062, 0.01012549176812172, 0.010111437179148197, 0.010079460218548775, 0.010038642212748528, 0.010002361610531807, 0.009980984032154083, 0.009974271059036255, 0.009979721158742905, 0.009992066770792007, 0.010007568635046482, 0.010023640468716621, 0.010039055719971657, 0.010053107514977455, 0.010064956732094288, 0.010070770978927612, 0.010058235377073288, 0.010011149570345879, 0.009943650104105473, 0.009887086227536201, 0.009835380129516125, 0.009784829802811146, 0.009734791703522205, 0.009678994305431843, 0.009588886052370071, 0.009488740004599094, 0.009464090690016747, 0.00960686057806015, 0.00975933950394392, 0.009846366010606289, 0.009888135828077793, 0.009898806922137737, 0.009911338798701763, 0.009934627451002598, 0.009970365092158318, 0.009998658671975136, 0.010015332140028477, 0.010027836076915264, 0.010037959553301334, 0.01004156656563282, 0.010050018317997456, 0.010058999992907047, 0.01005681324750185, 0.010049783624708652, 0.010037929750978947, 0.01002162229269743, 0.010001885704696178, 0.009979750029742718, 0.009932043962180614, 0.009855694137513638, 0.00975714810192585, 0.009631997905671597, 0.009476251900196075, 0.009276069700717926, 0.009036454372107983, 0.00877666287124157, 0.008536240085959435, 0.00827642623335123, 0.008040603250265121, 0.00786374881863594, 0.007528802379965782, 0.00710046524181962, 0.006723911967128515, 0.0062765697948634624, 0.006052764598280191, 0.005893787369132042, 0.005899854004383087, 0.005936675239354372, 0.006049351301044226, 0.006322740577161312, 0.0068338955752551556, 0.007529673166573048, 0.008215975016355515, 0.008718376979231834, 0.009049721993505955, 0.009266581386327744, 0.009409883990883827, 0.009531383402645588, 0.009630924090743065, 0.009705701842904091, 0.009752830490469933, 0.00976576842367649, 0.00975539069622755, 0.009740467183291912, 0.009726404212415218, 0.009694407694041729, 0.009642675518989563, 0.0095592075958848, 0.009443962946534157, 0.009199803695082664, 0.00903909932821989, 0.008706305176019669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
01-01-06-02-01-02-02.csv	fear	fear	[-0.6999903321266174, -4.027173042297363, -1.564853310585022, 5.848748207092285, -2.916813611984253, -3.3693220615386963, 3.0367932319641113, 2.1331186294555664]	[0.004298816900700331, 0.005303799174726009, 0.0066747963428497314, 0.007802526466548443, 0.008471931330859661, 0.008824065327644348, 0.009006818756461143, 0.00910849031060934, 0.009170860052108765, 0.009212353266775608, 0.009242154657840729, 0.009263739921152592, 0.009279991500079632, 0.009291832335293293, 0.009300504811108112, 0.009306717664003372, 0.009311866015195847, 0.009316745214164257, 0.009319952689111233, 0.009322167374193668, 0.009323794394731522, 0.009323695674538612, 0.009324678219854832, 0.009325615130364895, 0.009326660074293613, 0.009327895008027554, 0.009329025633633137, 0.009330314584076405, 0.009331480599939823, 0.009332599118351936, 0.00933336652815342, 0.009333928115665913, 0.009334118105471134, 0.009334022179245949, 0.009333699941635132, 0.00933393556624651, 0.009334159083664417, 0.009334443137049675, 0.00933443196117878, 0.00933431088924408, 0.009334424510598183, 0.009334876202046871, 0.009335598908364773, 0.009337647818028927, 0.009339196607470512, 0.009340638294816017, 0.00934219267219305, 0.009343952871859074, 0.009345415979623795, 0.009346568956971169, 0.009347548708319664, 0.009348590858280659, 0.009349413216114044, 0.009349931962788105, 0.009350493550300598, 0.00935111939907074, 0.009351671673357487, 0.009351978078484535, 0.009351943619549274, 0.009351775981485844, 0.009351641871035099, 0.009351572021842003, 0.009351643733680248, 0.009351709857583046, 0.009351828135550022, 0.00935195479542017, 0.009352893568575382, 0.009353822097182274, 0.009354506619274616, 0.009355120360851288, 0.009355503134429455, 0.009355687536299229, 0.009355705231428146, 0.009355380199849606, 0.00935497134923935, 0.00935431756079197, 0.00935356505215168, 0.009352724067866802, 0.009351978078484535, 0.009351334534585476, 0.009350878186523914, 0.009350507520139217, 0.009350205771625042, 0.009349890984594822, 0.009349587373435497, 0.009349280968308449, 0.009348935447633266, 0.009348533116281033, 0.009348079562187195, 0.009347652085125446, 0.009347167797386646, 0.00934666208922863, 0.009346060454845428, 0.009345516562461853, 0.009344849735498428, 0.00934405904263258, 0.009343130514025688, 0.009342136792838573, 0.009341037832200527, 0.009339654818177223, 0.009337740950286388, 0.009335028007626534, 0.009330151602625847, 0.009320125915110111, 0.009296045638620853, 0.009233667515218258, 0.009045851416885853, 0.008569035679101944, 0.008179393596947193, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
01-01-08-01-01-01-16.csv	surprise	calm	[-4.198063373565674, 4.392238140106201, -2.82743763923645, -0.34485018253326416, 0.22420501708984375, -3.49479079246521, 0.4031028151512146, 3.0401666164398193]	[0.00585041381418705, 0.005405268166214228, 0.00549848098307848, 0.005808647722005844, 0.0062127672135829926, 0.006574959959834814, 0.006663925480097532, 0.00612296536564827, 0.004854322876781225, 0.0039635393768548965, 0.003886094316840172, 0.0042075179517269135, 0.004793808329850435, 0.005502344109117985, 0.006143895909190178, 0.006585055962204933, 0.007005756720900536, 0.0076612792909145355, 0.008611420169472694, 0.009561046026647091, 0.010336203500628471, 0.01096896268427372, 0.01147195603698492, 0.011832811869680882, 0.012086250819265842, 0.012261997908353806, 0.012377348728477955, 0.012440111488103867, 0.012468538247048855, 0.012477079406380653, 0.012478617019951344, 0.012478018179535866, 0.012476782314479351, 0.012477305717766285, 0.012480921112000942, 0.012485146522521973, 0.012490332126617432, 0.012494119815528393, 0.01249691378325224, 0.012498465366661549, 0.012499426491558552, 0.012500666081905365, 0.01250280812382698, 0.012503874488174915, 0.01250340323895216, 0.01250202115625143, 0.012499120086431503, 0.012494697235524654, 0.012486530467867851, 0.012472158297896385, 0.012448091991245747, 0.01240426767617464, 0.012338779866695404, 0.012249357998371124, 0.012141641229391098, 0.012057861313223839, 0.01198557298630476, 0.011928235180675983, 0.011907524429261684, 0.011928871273994446, 0.011965863406658173, 0.012008230201900005, 0.01203610934317112, 0.01201839279383421, 0.011956051923334599, 0.011862865649163723, 0.011753390543162823, 0.01171774510294199, 0.011706496588885784, 0.011681224219501019, 0.011641601100564003, 0.011603600345551968, 0.01157575286924839, 0.01153428666293621, 0.011492254212498665, 0.011450900696218014, 0.011372680775821209, 0.011225072667002678, 0.010938702151179314, 0.01041843555867672, 0.009747432544827461, 0.009174914099276066, 0.008822135627269745, 0.008594460785388947, 0.008384117856621742, 0.008111375384032726, 0.007734303362667561, 0.007267024368047714, 0.006771615240722895, 0.0063365004025399685, 0.0060051423497498035, 0.005776772275567055, 0.005624604877084494, 0.00551652442663908, 0.005427287891507149, 0.005329946056008339, 0.005216633435338736, 0.005066398065537214, 0.0048637292347848415, 0.0045936438255012035, 0.0042958976700901985, 0.004044815432280302, 0.0038839576300233603, 0.00374902063049376, 0.0035385964438319206, 0.003317152848467231, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
01-01-02-01-01-02-16.csv	calm	calm	[-3.5421833992004395, 6.56027364730835, -2.2806155681610107, -1.55405855178833, 0.8693650960922241, -1.1876949071884155, -0.11825459450483322, 0.29872679710388184]	[0.0020250966772437096, 0.0020539050456136465, 0.0021571004763245583, 0.002354036783799529, 0.0026513070333749056, 0.0030625425279140472, 0.003555499715730548, 0.004068369045853615, 0.0044936868362128735, 0.004786957520991564, 0.004946271888911724, 0.005038826260715723, 0.005156800616532564, 0.005332168657332659, 0.005575146526098251, 0.005852077156305313, 0.006149413529783487, 0.006476978305727243, 0.006860791705548763, 0.00750868022441864, 0.008211405947804451, 0.008809471502900124, 0.009322318248450756, 0.009854856878519058, 0.01016008760780096, 0.010451423935592175, 0.010715969838202, 0.01090571191161871, 0.011036991141736507, 0.011135037988424301, 0.011205422692000866, 0.011273765936493874, 0.011341861449182034, 0.0114143593236804, 0.011494835838675499, 0.011582450941205025, 0.01169552467763424, 0.011789758689701557, 0.011840790510177612, 0.011896183714270592, 0.011918998323380947, 0.011968028731644154, 0.012065907940268517, 0.012166859582066536, 0.01225961558520794, 0.01233755610883236, 0.012401765212416649, 0.012397975660860538, 0.012382471933960915, 0.012362859211862087, 0.012353071942925453, 0.01236705668270588, 0.012401212006807327, 0.012434964999556541, 0.01247208472341299, 0.012559602037072182, 0.012637880630791187, 0.012699280865490437, 0.012760878540575504, 0.01282337587326765, 0.012872223742306232, 0.012912585400044918, 0.012937317602336407, 0.012950170785188675, 0.012924344278872013, 0.012898608110845089, 0.012873319908976555, 0.012845617718994617, 0.012825077399611473, 0.012798815034329891, 0.012759914621710777, 0.012688429094851017, 0.012551733292639256, 0.012360729277133942, 0.012131894938647747, 0.011876717209815979, 0.01161101832985878, 0.011312550865113735, 0.010972819291055202, 0.010575980879366398, 0.010247171856462955, 0.009923075325787067, 0.009505393914878368, 0.009020856581628323, 0.00827278196811676, 0.007460703607648611, 0.006620371248573065, 0.0060346233658492565, 0.005611761938780546, 0.005283800885081291, 0.004981937352567911, 0.004678164143115282, 0.0043813628144562244, 0.004118753597140312, 0.003931431099772453, 0.003826969303190708, 0.0037983274087309837, 0.003810976864770055, 0.0038441079668700695, 0.003896148642525077, 0.0039713699370622635, 0.004125472158193588, 0.004266953561455011, 0.0044122845865786076, 0.004570885561406612, 0.004746380262076855, 0.004954609088599682, 0.0052057113498449326, 0.005486235022544861, 0.005769465584307909, 0.006022698245942593, 0.006176765542477369, 0.006157488562166691, 0.0057138316333293915, 0.004410711117088795, 0.0030652270652353764, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
01-01-04-01-02-02-13.csv	sad	sad	[-2.016289710998535, -1.7336138486862183, -2.179731845855713, 2.0107736587524414, -3.408238410949707, -1.7150874137878418, 3.7615439891815186, 1.6720365285873413]	[0.002458650851622224, 0.002451614011079073, 0.0024494510143995285, 0.002448480576276779, 0.002448320621624589, 0.0024484656751155853, 0.0024486551992595196, 0.002448971616104245, 0.00244948104955256, 0.002450320404022932, 0.002451743697747588, 0.002454260364174843, 0.0024564883206039667, 0.002457269001752138, 0.002457650378346443, 0.002456530462950468, 0.0024551663082093, 0.0024544168263673782, 0.002454411704093218, 0.002455229638144374, 0.002456714864820242, 0.0024583798367530107, 0.0024601868353784084, 0.002462205244228244, 0.002464052988216281, 0.0024659205228090286, 0.0024687964469194412, 0.002474424196407199, 0.0024852531496435404, 0.0025064395740628242, 0.002546762814745307, 0.002613215707242489, 0.0027049207128584385, 0.0028124528471380472, 0.0029360135085880756, 0.003094602609053254, 0.003348578466102481, 0.003700566478073597, 0.004159579984843731, 0.004709684289991856, 0.005214870907366276, 0.005837124772369862, 0.006627950351685286, 0.0076264431700110435, 0.008865374140441418, 0.010345656424760818, 0.011621994897723198, 0.0127030611038208, 0.013599438592791557, 0.014395453967154026, 0.014963634312152863, 0.015452202409505844, 0.01586061529815197, 0.01625077985227108, 0.016589969396591187, 0.01682213880121708, 0.01694665104150772, 0.017036505043506622, 0.01714886538684368, 0.017285989597439766, 0.017395060509443283, 0.01744328811764717, 0.017419464886188507, 0.017258722335100174, 0.017120275646448135, 0.017096946015954018, 0.01722339168190956, 0.017403285950422287, 0.017532913014292717, 0.017582761123776436, 0.01755206100642681, 0.01745075359940529, 0.017276108264923096, 0.01703859120607376, 0.016741571947932243, 0.016539109870791435, 0.016440024599432945, 0.01645192876458168, 0.01659984514117241, 0.016771456226706505, 0.016939539462327957, 0.01708805374801159, 0.01722199097275734, 0.017335286363959312, 0.017422137781977654, 0.017475919798016548, 0.017484357580542564, 0.01743682101368904, 0.017302732914686203, 0.017051158472895622, 0.01658734865486622, 0.015760552138090134, 0.014371795579791069, 0.012333293445408344, 0.009838597849011421, 0.007648990023881197, 0.00636321073397994, 0.006220538634806871, 0.007112901192158461, 0.00892675295472145, 0.012161373160779476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
01-01-07-01-01-02-07.csv	disgust	disgust	[1.0947648286819458, -3.263244152069092, 6.628138065338135, 0.2554849088191986, -1.4713177680969238, -3.8909971714019775, 1.1176338195800781, -0.20402532815933228]	[0.007503903470933437, 0.009095064364373684, 0.009444152936339378, 0.009543579071760178, 0.00958198495209217, 0.009601280093193054, 0.009612791240215302, 0.009620117023587227, 0.009624256752431393, 0.009627078659832478, 0.00962779764086008, 0.009629924781620502, 0.009631708264350891, 0.009633260779082775, 0.009634304791688919, 0.00963536836206913, 0.0096365911886096, 0.009638405404984951, 0.00964098796248436, 0.009642383083701134, 0.009644884616136551, 0.009647947736084461, 0.00965094193816185, 0.009652708657085896, 0.00965334102511406, 0.009653126820921898, 0.009651905857026577, 0.009650127030909061, 0.009648863226175308, 0.009647496975958347, 0.009647010825574398, 0.009646869264543056, 0.009646506048738956, 0.009645381942391396, 0.009644771926105022, 0.009644750505685806, 0.009645276702940464, 0.0096456753090024, 0.009645014069974422, 0.00964418239891529, 0.009643605910241604, 0.009643469005823135, 0.0096437968313694, 0.009646513499319553, 0.009648009203374386, 0.009648739360272884, 0.009648776613175869, 0.00964836310595274, 0.00964759849011898, 0.009646941907703876, 0.00964450929313898, 0.009639941155910492, 0.009634831920266151, 0.009629699401557446, 0.009628011845052242, 0.009627600200474262, 0.009627819992601871, 0.00962667167186737, 0.00962094310671091, 0.00961007084697485, 0.009600169956684113, 0.009593645110726357, 0.009592085145413876, 0.009592670947313309, 0.00959387794137001, 0.009595491923391819, 0.00959680788218975, 0.009598210453987122, 0.009598420932888985, 0.009598451666533947, 0.00960024818778038, 0.009601617231965065, 0.009605606086552143, 0.00960728619247675, 0.00960607174783945, 0.009603400714695454, 0.009599452838301659, 0.009594189934432507, 0.009585745632648468, 0.009579881094396114, 0.009569667279720306, 0.009560693055391312, 0.009549823589622974, 0.00953689869493246, 0.009523080661892891, 0.009512047283351421, 0.009508313611149788, 0.00949958898127079, 0.009487473405897617, 0.009472711943089962, 0.009451019577682018, 0.009425986558198929, 0.00939576979726553, 0.009361490607261658, 0.009315526112914085, 0.009253645315766335, 0.009169778786599636, 0.009066988714039326, 0.008960387669503689, 0.008888382464647293, 0.008880584500730038, 0.008946084417402744, 0.009093957021832466, 0.009203540161252022, 0.009105558507144451, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
01-01-02-01-02-02-13.csv	calm	calm	[-3.038841962814331, 6.018421649932861, -2.7309679985046387, -0.7448812127113342, -0.5012298822402954, -1.4828763008117676, -0.23928648233413696, 1.3014616966247559]	[0.005081095267087221, 0.0045509799383580685, 0.00432683527469635, 0.0044961427338421345, 0.004960209131240845, 0.005938900168985128, 0.0073181637562811375, 0.009139926172792912, 0.011075502261519432, 0.013190063647925854, 0.014976141974329948, 0.016346029937267303, 0.017286792397499084, 0.01791680045425892, 0.018286332488059998, 0.01841026172041893, 0.018217308446764946, 0.017580557614564896, 0.016636548563838005, 0.01578507199883461, 0.015828393399715424, 0.016602130606770515, 0.017391618341207504, 0.017652656883001328, 0.01752055436372757, 0.01717117242515087, 0.016765786334872246, 0.0163502749055624, 0.01598045788705349, 0.015618887729942799, 0.015126832760870457, 0.014256816357374191, 0.012918923050165176, 0.011414211243391037, 0.01043886411935091, 0.009947767481207848, 0.010040435008704662, 0.010640643537044525, 0.011729744262993336, 0.013147452846169472, 0.014532333239912987, 0.015490750782191753, 0.015715796500444412, 0.015525205060839653, 0.01526900939643383, 0.015140761621296406, 0.015083439648151398, 0.014888717792928219, 0.01481447834521532, 0.014420809224247932, 0.013901453465223312, 0.013624033890664577, 0.01334027573466301, 0.012851081788539886, 0.01213271263986826, 0.011718852445483208, 0.01231564674526453, 0.013594928197562695, 0.014979801140725613, 0.015461400151252747, 0.015217180363833904, 0.014778128825128078, 0.014191140420734882, 0.01358627900481224, 0.013216797262430191, 0.012863507494330406, 0.012246960774064064, 0.011330702342092991, 0.009806318208575249, 0.008074269630014896, 0.006413516588509083, 0.005091319791972637, 0.004158135503530502, 0.003611915744841099, 0.0033414617646485567, 0.0032145569566637278, 0.003156785387545824, 0.0031358134001493454, 0.003133207792416215, 0.0031244868878275156, 0.0030782190151512623, 0.0029928754083812237, 0.002923141233623028, 0.0028923172503709793, 0.002882374217733741, 0.0028801525477319956, 0.0028836692217737436, 0.002909976989030838, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
01-01-02-02-02-01-01.csv	calm	calm	[-4.8638529777526855, 4.898177623748779, -2.950863838195801, -1.1206977367401123, 1.883447527885437, -2.2919256687164307, 0.8361464142799377, 1.4353550672531128]	[0.0036193239502608776, 0.003742833388969302, 0.004159512929618359, 0.004740268457680941, 0.005318250507116318, 0.005794952157884836, 0.0061323028057813644, 0.006335033569484949, 0.006443797145038843, 0.006484897341579199, 0.006517272442579269, 0.006585072260349989, 0.006742540281265974, 0.007021488156169653, 0.007420440204441547, 0.007879321463406086, 0.008303654380142689, 0.008649294264614582, 0.008891714736819267, 0.009072793647646904, 0.009201634675264359, 0.009295590221881866, 0.009364629164338112, 0.009411855600774288, 0.009440739639103413, 0.009463243186473846, 0.009499029256403446, 0.009553900919854641, 0.009615428745746613, 0.009672785177826881, 0.009720820002257824, 0.00975017435848713, 0.00976826623082161, 0.009781294502317905, 0.009786943905055523, 0.009787780232727528, 0.009775586426258087, 0.009756705723702908, 0.009732511825859547, 0.009705753065645695, 0.00967831164598465, 0.009661068208515644, 0.00964962225407362, 0.009644659236073494, 0.00964412558823824, 0.009649270214140415, 0.009653229266405106, 0.009648650884628296, 0.009639017283916473, 0.009630728513002396, 0.009621113538742065, 0.00960558746010065, 0.009587042964994907, 0.009551475755870342, 0.009466911666095257, 0.00927974097430706, 0.008903464302420616, 0.008194089867174625, 0.007195635233074427, 0.006087545771151781, 0.0052396212704479694, 0.004747946746647358, 0.004472108092159033, 0.004339686129242182, 0.004275968763977289, 0.004214812535792589, 0.004094602540135384, 0.00393660506233573, 0.0037763614673167467, 0.003809127723798156, 0.004183031618595123, 0.0048732394352555275, 0.005651676096022129, 0.0064678373746573925, 0.006981810554862022, 0.007418633438646793, 0.007695783395320177, 0.00779021205380559, 0.007772466167807579, 0.007672353647649288, 0.0075037055648863316, 0.007304891012609005, 0.007212736178189516, 0.007311805617064238, 0.007569941226392984, 0.007925264537334442, 0.008344404399394989, 0.008758441545069218, 0.009062647819519043, 0.00926132407039404, 0.009391315281391144, 0.009486081078648567, 0.009556397795677185, 0.009601923637092113, 0.009606974199414253, 0.009586186148226261, 0.009535562247037888, 0.00944751687347889, 0.009350135922431946, 0.00929282046854496, 0.00928193237632513, 0.009282643906772137, 0.009227491915225983, 0.00912173930555582, 0.00897678080946207, 0.008802090771496296, 0.008609455078840256, 0.008399871177971363, 0.008218815550208092, 0.008066547103226185, 0.007959150709211826, 0.007903930731117725, 0.007901052944362164, 0.007935337722301483, 0.007996608503162861, 0.008080285042524338, 0.008183726109564304, 0.008296562358736992, 0.008400698192417622, 0.008499151095747948, 0.008607553318142891, 0.00873749889433384, 0.008770720101892948, 0.008250823244452477, 0.0060348352417349815, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
01-01-06-01-02-02-06.csv	fear	fear	[0.16605865955352783, -3.8360910415649414, -1.118741750717163, 4.30031681060791, -2.824819564819336, -3.3186352252960205, 1.1482821702957153, 3.5357022285461426]	[0.008288582786917686, 0.009423523209989071, 0.010119845159351826, 0.01045927219092846, 0.010622031055390835, 0.010703937150537968, 0.010751312598586082, 0.010779496282339096, 0.010797588154673576, 0.010807798244059086, 0.01081226859241724, 0.010811957530677319, 0.0108104906976223, 0.010812412016093731, 0.010818316601216793, 0.010826542973518372, 0.010837004519999027, 0.010848745703697205, 0.01085972785949707, 0.010868817567825317, 0.010875062085688114, 0.010879110544919968, 0.01088137086480856, 0.01088215596973896, 0.010881947353482246, 0.01088118925690651, 0.010880344547331333, 0.010880067944526672, 0.010880007408559322, 0.010880323126912117, 0.01088052336126566, 0.01088023092597723, 0.010879282839596272, 0.010878988541662693, 0.010880385525524616, 0.010881963185966015, 0.010884624905884266, 0.010886563919484615, 0.010887780226767063, 0.010888478718698025, 0.010888931341469288, 0.01089000515639782, 0.010891505517065525, 0.010893173515796661, 0.01089457981288433, 0.010895432904362679, 0.010895845480263233, 0.010895910672843456, 0.010895850136876106, 0.010895725339651108, 0.010895508341491222, 0.01089510042220354, 0.010894589126110077, 0.010893693193793297, 0.010892287828028202, 0.010889969766139984, 0.010885647498071194, 0.010879180394113064, 0.010872063226997852, 0.010863886214792728, 0.010852403938770294, 0.010833573527634144, 0.01081232912838459, 0.010792361572384834, 0.010771580971777439, 0.010740218684077263, 0.010682817548513412, 0.01057724840939045, 0.01044495590031147, 0.010274127125740051, 0.010036235675215721, 0.009715646505355835, 0.00939953327178955, 0.009028594009578228, 0.00865491759032011, 0.008391082286834717, 0.008314769715070724, 0.008376906625926495, 0.008524519391357899, 0.00870794989168644, 0.00886642374098301, 0.008985417895019054, 0.009050521068274975, 0.009068912826478481, 0.00903152022510767, 0.008955872617661953, 0.008825728669762611, 0.008662780746817589, 0.008441487327218056, 0.008202038705348969, 0.007920979522168636, 0.007617856841534376, 0.0072293528355658054, 0.006768392398953438, 0.0062152426689863205, 0.005584981758147478, 0.004868823103606701, 0.004086798056960106, 0.0033484899904578924, 0.0028005072381347418, 0.0025262758135795593, 0.0025755716487765312, 0.0031380571890622377, 0.004807204939424992, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
